model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_1_AutoML_1_20260904_204429,0.2198312429270275,0.7980159393541397,0.2118729105395848,0.3593745939384126,0.2437522694576315,0.0594151688657458
StackedEnsemble_BestOfFamily_1_AutoML_1_20260904_204429,0.2168489741334327,0.7964407327500039,0.2125205528956729,0.3635212948691806,0.243893439251194,0.0594840097097758
GBM_1_AutoML_1_20260904_204429,0.2132063210458618,0.7940044569319835,0.2175704515424443,0.3696048783364519,0.2454153342567607,0.0602286862883576
GBM_grid_1_AutoML_1_20260904_204429_model_1,0.2094070484705204,0.7929999230357114,0.2151436421247105,0.3734425976346975,0.2450455552183197,0.0600473241322546
XRT_1_AutoML_1_20260904_204429,0.2079635878508287,0.7802016739232996,0.304741333034886,0.37296819275856,0.2534626905670924,0.0642433355095096
GBM_2_AutoML_1_20260904_204429,0.2058515054960569,0.7926915661133234,0.2168754787165543,0.3472975102052648,0.2456058157228839,0.0603222167169032
GBM_5_AutoML_1_20260904_204429,0.2046781382787669,0.7934158238077531,0.2158158602146845,0.2960447602312527,0.2453272304052192,0.0601854499782955
GBM_3_AutoML_1_20260904_204429,0.2025905514581153,0.7875861850101553,0.221115511139219,0.363018528152937,0.246592899929598,0.0608080582956887
DRF_1_AutoML_1_20260904_204429,0.2020177745381632,0.7745538257748406,0.3435104188633487,0.3551073551871931,0.2540338436483487,0.0645331937187536
GBM_4_AutoML_1_20260904_204429,0.2014581007645733,0.7871138729129684,0.2278309866858606,0.3741027913048345,0.2479410003984153,0.0614747396785669
GLM_1_AutoML_1_20260904_204429,0.1702176249631661,0.745722266118521,0.2283451124122163,0.3439696168477826,0.2484135279660898,0.0617092808765593
DeepLearning_1_AutoML_1_20260904_204429,0.1517703098382863,0.7431675764945066,0.2325219652314009,0.3590079827959826,0.2516353687379962,0.0633203587999073
